Hotel_name,name,rating,review
ASTON Bellevue Radio Dalam,Muthia Azhari,5.0,"During my stay, the room was good, nice design and clean. No issues at all. The public facilities were fine, and breakfast was okay too. But the air freshener in the lobby was pretty strong and a bit unpleasant. Maybe it’s just personal preference, though. The rest of the hotel’s scent was fine, just the lobby one was a bit too much."
ASTON Bellevue Radio Dalam,Stephen Hilsum,4.0,"A pleasant hotel. Clean, comfortable room. Excellent powerful shower.

However, despite some of the hotel's media advertising 24-hour room service, I was disappointed to discover - when I was hungry at 11pm - that room service finishes at 10pm. I sent a complaint to the Manager about this. Although I am similarly disappointed not to have received the courtesy of a reply from the Manager, I notice that the hotel's website has been amended to show that room service is not available for 24 hours. Whilst many hotels did cut back on their room-service hours during the pandemic, I would expect now a 4* hotel to provide 24-hour room service, even if it's with a reduced menu at night."
ASTON Bellevue Radio Dalam,Celia,5.0,"nice hotel rooms here, the facilities are good 👍 i stayed with my family, near gandaria city or pondok indah mall. The breakfast was also good 👍 i love it! free of parking charge for grab driver, just tell the lobby about your room stay and the car plate number 😁"
ASTON Bellevue Radio Dalam,Trip.com Member,4.5,Very convenient location. Less than 5 minutes drive to PIM mall. The staffs are very friendly and ready to assist you. The room is spacious and clean. The breakfast place was very crowded tho. I couldn’t find place to sit for breakfast.
ASTON Bellevue Radio Dalam,Rizky,4.0,"Stayed here for 2 nights.

The room was good, clean, spacious, and the ac was working properly. The shower head needs to be cleaned though.

My only complaint here is on the breakfast service, i can't found any coffee cup! There were only 2 which i believed was used as it has traces of coffee inside it. And the taste of the overall breakfast is okay which is disappointing for Aston."
ASTON Bellevue Radio Dalam,Aaliya Mia,5.0,"Modern and beautifully decorated hotel. Rooms are comfortable with an excellent bed and pillows.

Service is excellent and all requests are attended to promptly.

The Breakfast buffet offers a good selection of options, mostly Indonesian with some western options. The pastries are superb."
ASTON Bellevue Radio Dalam,Fakhri M,5.0,"I booked 2 night for my anniversary trip. The staff really helpful especially the one named Fahrezy. He helped me with the surprise. Then on my breakfast my slipper was broken, without I asking for it, staff respond it with new slippers. So, I am amazed with the staff||The hotel itself really comfortable and worth for money. The location also great because it was accessible to anywhere."
ASTON Bellevue Radio Dalam,YOUNG IN OH,1.0,"I rarely write negative reviews, but this time, I must say that the Aston Bellevue Hotel appears to have various issues. When selecting a hotel for the business trip team in Jakarta, our main considerations were accessibility and ease of travel to other regions, which led us to choose Aston Bellevue. However, the process of making reservations and handling changes was extremely inconvenient, and the attitude of the manager and staff—prioritizing the hotel's interests over customer satisfaction—was downright unpleasant.

For instance, a request to change the reservation name and a simple dinner request around 10 PM, when we were expected to arrive at the hotel, were denied because ""no services could be provided before check-in."" Upon arrival, we discovered that the restaurant had already closed, leaving no options for food. When I inquired with the team about the hotel’s internal conditions and their experience, all members expressed disappointment, citing that the facilities were outdated for the price range, and many were in poor hygienic and functional condition.

The reception, restaurant, and staff were neither friendly nor skilled, providing subpar service that failed to meet even basic standards. A hotel should prioritize offering its guests a comfortable stay and a sense of security during their travels. However, Aston Bellevue seemed entirely focused on maximizing profits, showing no concern for guest satisfaction or convenience.

Even the Christmas tree in the lobby appeared hastily assembled without effort or care, resembling something one might see in a private home rather than a professional establishment. While small and simple details, they reflected a broader lack of commitment to fulfilling the fundamental duties of a hotel. Aston Bellevue gave the impression of a place operating with the mindset of ""take it or leave it"" and prioritizing profit over hospitality.

To summarize, this is a hotel I would never want to return to. It is embarrassing that a hotel of such poor standards exists in such a central location in Jakarta. Recommending this hotel to the team brought me significant embarrassment and discomfort, and it failed to meet expectations on every level."
ASTON Bellevue Radio Dalam,Muthia Azhari,5.0,"During my stay, the room was good, nice design and clean. No issues at all. The public facilities were fine, and breakfast was okay too. But the air freshener in the lobby was pretty strong and a bit unpleasant. Maybe it’s just personal preference, though. The rest of the hotel’s scent was fine, just the lobby one was a bit too much."
ASTON Bellevue Radio Dalam,Stephen Hilsum,4.0,"A pleasant hotel. Clean, comfortable room. Excellent powerful shower.

However, despite some of the hotel's media advertising 24-hour room service, I was disappointed to discover - when I was hungry at 11pm - that room service finishes at 10pm. I sent a complaint to the Manager about this. Although I am similarly disappointed not to have received the courtesy of a reply from the Manager, I notice that the hotel's website has been amended to show that room service is not available for 24 hours. Whilst many hotels did cut back on their room-service hours during the pandemic, I would expect now a 4* hotel to provide 24-hour room service, even if it's with a reduced menu at night."
